repetition,role,held_subject_fold,held_video_fold,outer_cell,source_subjects,source_videos,source_rows,test_subjects,test_videos,test_rows,task,label_policy,source_scored_rows,source_low,source_high,source_both_classes,anchor_count,donor_min,donor_p10,donor_median,donor_max,zero_donor_rate,below_5_rate,below_20_rate,unique_subject_min,unique_video_min,unique_quadrant_min,same_quadrant_donor_fraction_median
0,primary,3,2,R00_S3_V2,16,11,51,6,3,6,arousal,discard_midpoint,41,20,21,True,41,13,14.0,16.0,19,0.0,0.0,1.0,7,6,3,0.2631578947368421
0,primary,3,2,R00_S3_V2,16,11,51,6,3,6,arousal,midpoint_as_low,51,30,21,True,51,14,16.0,23.0,28,0.0,0.0,0.4117647058823529,7,6,3,0.28
0,primary,3,2,R00_S3_V2,16,11,51,6,3,6,arousal,midpoint_as_high,51,20,31,True,51,13,15.0,23.0,29,0.0,0.0,0.39215686274509803,8,7,3,0.2631578947368421
0,primary,3,3,R00_S3_V3,16,11,53,4,2,4,valence,discard_midpoint,48,32,16,True,48,7,10.0,23.0,30,0.0,0.0,0.3333333333333333,7,3,1,0.29800724637681164
0,primary,3,3,R00_S3_V3,16,11,53,4,2,4,valence,midpoint_as_low,53,37,16,True,53,7,10.0,28.0,35,0.0,0.0,0.3018867924528302,7,3,1,0.2857142857142857
0,primary,3,3,R00_S3_V3,16,11,53,4,2,4,valence,midpoint_as_high,53,32,21,True,53,12,15.0,23.0,30,0.0,0.0,0.39622641509433965,9,5,2,0.2916666666666667
0,primary,3,3,R00_S3_V3,16,11,53,4,2,4,arousal,discard_midpoint,40,16,24,True,40,11,12.0,18.0,21,0.0,0.0,0.875,7,7,3,0.3033088235294118
0,primary,3,3,R00_S3_V3,16,11,53,4,2,4,arousal,midpoint_as_low,53,29,24,True,53,16,18.0,22.0,27,0.0,0.0,0.3584905660377358,7,7,3,0.2631578947368421
0,primary,3,3,R00_S3_V3,16,11,53,4,2,4,arousal,midpoint_as_high,53,16,37,True,53,11,12.2,29.0,34,0.0,0.0,0.3018867924528302,7,7,3,0.26666666666666666
1,sensitivity,1,1,R01_S1_V1,16,8,37,7,3,10,valence,discard_midpoint,30,18,12,True,30,5,7.0,12.0,17,0.0,0.0,1.0,5,3,1,0.4166666666666667
1,sensitivity,1,1,R01_S1_V1,16,8,37,7,3,10,valence,midpoint_as_low,37,25,12,True,37,5,7.0,18.0,24,0.0,0.0,0.8108108108108109,5,3,1,0.3
1,sensitivity,1,1,R01_S1_V1,16,8,37,7,3,10,valence,midpoint_as_high,37,18,19,True,37,11,12.0,13.0,17,0.0,0.0,1.0,6,4,2,0.4166666666666667
1,sensitivity,1,1,R01_S1_V1,16,8,37,7,3,10,arousal,discard_midpoint,33,13,20,True,33,7,8.0,14.0,19,0.0,0.0,1.0,5,4,2,0.3333333333333333
1,sensitivity,1,1,R01_S1_V1,16,8,37,7,3,10,arousal,midpoint_as_low,37,17,20,True,37,11,11.6,14.0,19,0.0,0.0,1.0,8,5,2,0.3076923076923077
1,sensitivity,1,1,R01_S1_V1,16,8,37,7,3,10,arousal,midpoint_as_high,37,13,24,True,37,7,8.0,18.0,23,0.0,0.0,0.8648648648648649,5,4,2,0.3333333333333333
1,sensitivity,1,2,R01_S1_V2,16,10,41,5,5,11,valence,discard_midpoint,33,26,7,True,33,3,5.0,20.0,25,0.0,0.09090909090909091,0.48484848484848486,3,3,1,0.4166666666666667
1,sensitivity,1,2,R01_S1_V2,16,10,41,5,5,11,valence,midpoint_as_low,41,34,7,True,41,3,5.0,27.0,32,0.0,0.07317073170731707,0.17073170731707318,3,3,1,0.4444444444444444
1,sensitivity,1,2,R01_S1_V2,16,10,41,5,5,11,valence,midpoint_as_high,41,26,15,True,41,9,10.0,19.0,25,0.0,0.0,0.5853658536585366,6,6,2,0.3333333333333333
1,sensitivity,1,2,R01_S1_V2,16,10,41,5,5,11,arousal,discard_midpoint,31,15,16,True,31,8,10.0,12.0,15,0.0,0.0,1.0,6,5,2,0.36363636363636365
1,sensitivity,1,2,R01_S1_V2,16,10,41,5,5,11,arousal,midpoint_as_low,41,25,16,True,41,8,10.0,19.0,23,0.0,0.0,0.6341463414634146,6,5,2,0.4
1,sensitivity,1,2,R01_S1_V2,16,10,41,5,5,11,arousal,midpoint_as_high,41,15,26,True,41,9,10.0,19.0,25,0.0,0.0,0.5853658536585366,8,6,3,0.2857142857142857
1,sensitivity,1,3,R01_S1_V3,16,10,42,5,5,9,valence,discard_midpoint,33,22,11,True,33,5,6.0,15.0,19,0.0,0.0,1.0,4,3,1,0.3333333333333333
1,sensitivity,1,3,R01_S1_V3,16,10,42,5,5,9,valence,midpoint_as_low,42,31,11,True,42,5,6.1000000000000005,23.0,29,0.0,0.0,0.2619047619047619,4,3,1,0.30434782608695654
1,sensitivity,1,3,R01_S1_V3,16,10,42,5,5,9,valence,midpoint_as_high,42,22,20,True,42,12,14.0,16.0,19,0.0,0.0,1.0,9,4,2,0.3333333333333333
1,sensitivity,1,3,R01_S1_V3,16,10,42,5,5,9,arousal,discard_midpoint,28,12,16,True,28,7,8.7,10.0,13,0.0,0.0,1.0,5,4,3,0.25
1,sensitivity,1,3,R01_S1_V3,16,10,42,5,5,9,arousal,midpoint_as_low,42,26,16,True,42,8,10.100000000000001,20.0,23,0.0,0.0,0.47619047619047616,5,4,3,0.2727272727272727
1,sensitivity,1,3,R01_S1_V3,16,10,42,5,5,9,arousal,midpoint_as_high,42,12,30,True,42,7,9.0,23.0,28,0.0,0.0,0.2857142857142857,5,5,3,0.21980676328502413
1,sensitivity,2,1,R01_S2_V1,16,10,38,6,4,8,valence,discard_midpoint,33,23,10,True,33,3,5.0,16.0,21,0.0,0.030303030303030304,0.8181818181818182,3,2,1,0.3333333333333333
1,sensitivity,2,1,R01_S2_V1,16,10,38,6,4,8,valence,midpoint_as_low,38,28,10,True,38,3,5.0,21.0,26,0.0,0.02631578947368421,0.3157894736842105,3,2,1,0.35
1,sensitivity,2,1,R01_S2_V1,16,10,38,6,4,8,valence,midpoint_as_high,38,23,15,True,38,7,10.0,15.0,21,0.0,0.0,0.8421052631578947,6,4,2,0.3333333333333333
1,sensitivity,2,1,R01_S2_V1,16,10,38,6,4,8,arousal,discard_midpoint,35,19,16,True,35,9,10.4,13.0,18,0.0,0.0,1.0,5,5,2,0.2857142857142857
1,sensitivity,2,1,R01_S2_V1,16,10,38,6,4,8,arousal,midpoint_as_low,38,22,16,True,38,9,11.0,15.0,21,0.0,0.0,0.9210526315789473,5,5,2,0.3076923076923077
1,sensitivity,2,1,R01_S2_V1,16,10,38,6,4,8,arousal,midpoint_as_high,38,19,19,True,38,10,12.0,14.0,18,0.0,0.0,1.0,7,5,2,0.3076923076923077
1,sensitivity,2,2,R01_S2_V2,16,11,41,6,3,8,valence,discard_midpoint,36,28,8,True,36,4,5.0,21.0,26,0.0,0.027777777777777776,0.4166666666666667,3,2,1,0.5263157894736842
1,sensitivity,2,2,R01_S2_V2,16,11,41,6,3,8,valence,midpoint_as_low,41,33,8,True,41,4,5.0,26.0,31,0.0,0.024390243902439025,0.1951219512195122,3,2,1,0.4583333333333333
