participant_id,session_id,xdf_filename,stream_name,channel_index,channel_label,channel_unit,is_true_emg,is_official_code_selected_index_0_or_1,sample_count,finite_count,nan_count,posinf_count,neginf_count,finite_fraction,mean,std,minimum,maximum,robust_range_p01_p99,constant_channel,near_constant_channel,qc_status
P011,S001,sub-P011_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BBBD,1,ECG_EMG_Status1,,False,True,674073,674073,0,0,0,1.0,128.0,0.0,128.0,128.0,0.0,True,True,CONSTANT
P011,S001,sub-P011_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BBBD,2,EMG_CH1_24BIT,,True,False,674073,674073,0,0,0,1.0,12.245611780184857,1.0414550730000263,10.277043342590332,14.171563148498535,3.628734588623047,False,False,PASS
P011,S001,sub-P011_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BBBD,3,EMG_CH2_24BIT,,True,False,674073,674073,0,0,0,1.0,-5.842231301011821,0.5387856154005528,-6.964737415313721,-4.674226760864258,1.902526988983154,False,False,PASS
P011,S002,sub-P011_ses-S002_task-Default_run-001_eeg.xdf,Shimmer_BBBD,0,Battery,,False,True,612622,612622,0,0,0,1.0,3768.657341223574,9.632634384659323,3684.981689453125,3787.5458984375,35.164794921875,False,False,PASS
P011,S002,sub-P011_ses-S002_task-Default_run-001_eeg.xdf,Shimmer_BBBD,1,ECG_EMG_Status1,,False,True,612622,612622,0,0,0,1.0,128.0,0.0,128.0,128.0,0.0,True,True,CONSTANT
P011,S002,sub-P011_ses-S002_task-Default_run-001_eeg.xdf,Shimmer_BBBD,2,EMG_CH1_24BIT,,True,False,612622,612622,0,0,0,1.0,6.117736814232305,0.39610480015816,5.092243671417236,7.620082855224609,1.6721832752227783,False,False,PASS
P011,S002,sub-P011_ses-S002_task-Default_run-001_eeg.xdf,Shimmer_BBBD,3,EMG_CH2_24BIT,,True,False,612622,612622,0,0,0,1.0,-4.387371646128179,0.5494446454233727,-5.858055114746094,-2.6068363189697266,2.2615418434143066,False,False,PASS
P012,S001,sub-P012_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BBBD,0,Battery,,False,True,610295,610295,0,0,0,1.0,3769.1690897618864,9.417410883184422,3682.05126953125,3787.5458984375,36.6298828125,False,False,PASS
P012,S001,sub-P012_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BBBD,1,ECG_EMG_Status1,,False,True,610295,610295,0,0,0,1.0,128.0,0.0,128.0,128.0,0.0,True,True,CONSTANT
P012,S001,sub-P012_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BBBD,2,EMG_CH1_24BIT,,True,False,610295,610295,0,0,0,1.0,195.48636909070584,35.76850784674172,-19.167236328125,201.6666717529297,212.77958541870117,False,False,PASS
P012,S001,sub-P012_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BBBD,3,EMG_CH2_24BIT,,True,False,610295,610295,0,0,0,1.0,-20.671825390846372,0.2776014722303774,-21.76094627380371,-19.443967819213867,1.0773568725585925,False,False,PASS
