relative_path,category,modality,sampling_rate,channels,data_shape,timestamps_shape
DEJA-VU/preprocessed/clean_P009_S001.h5,preprocessed_hdf5,ecg,512.0,"[""ECG_Lead_I"", ""ECG_Lead_II"", ""ECG_Lead_III"", ""ECG_Chest""]","[635380, 4]",[635380]
DEJA-VU/preprocessed/clean_P009_S001.h5,preprocessed_hdf5,eeg,300.0,"[""FP1"", ""FP2"", ""C3"", ""C4"", ""LE"", ""EOG1"", ""EOG2""]","[372290, 7]",[372290]
DEJA-VU/preprocessed/clean_P009_S001.h5,preprocessed_hdf5,emg,512.0,"[""EMG_Zygomaticus"", ""EMG_Trapezius""]","[635382, 2]",[635382]
DEJA-VU/preprocessed/clean_P009_S001.h5,preprocessed_hdf5,gsr,9.99938968568813,"[""GSR_Conductance""]","[12410, 1]",[12410]
DEJA-VU/preprocessed/clean_P009_S002.h5,preprocessed_hdf5,ecg,512.0,"[""ECG_Lead_I"", ""ECG_Lead_II"", ""ECG_Lead_III"", ""ECG_Chest""]","[605123, 4]",[605123]
DEJA-VU/preprocessed/clean_P009_S002.h5,preprocessed_hdf5,eeg,300.0,"[""FP1"", ""FP2"", ""C3"", ""C4"", ""LE"", ""EOG1"", ""EOG2""]","[354587, 7]",[354587]
DEJA-VU/preprocessed/clean_P009_S002.h5,preprocessed_hdf5,emg,512.0,"[""EMG_Zygomaticus"", ""EMG_Trapezius""]","[604417, 2]",[604417]
DEJA-VU/preprocessed/clean_P009_S002.h5,preprocessed_hdf5,gsr,9.99938968568813,"[""GSR_Conductance""]","[11799, 1]",[11799]
DEJA-VU/preprocessed/clean_P010_S001.h5,preprocessed_hdf5,ecg,512.0,"[""ECG_Lead_I"", ""ECG_Lead_II"", ""ECG_Lead_III"", ""ECG_Chest""]","[617385, 4]",[617385]
DEJA-VU/preprocessed/clean_P010_S001.h5,preprocessed_hdf5,eeg,300.0,"[""FP1"", ""FP2"", ""C3"", ""C4"", ""LE"", ""EOG1"", ""EOG2""]","[361787, 7]",[361787]
DEJA-VU/preprocessed/clean_P010_S001.h5,preprocessed_hdf5,emg,512.0,"[""EMG_Zygomaticus"", ""EMG_Trapezius""]","[616617, 2]",[616617]
DEJA-VU/preprocessed/clean_P010_S001.h5,preprocessed_hdf5,gsr,9.99938968568813,"[""GSR_Conductance""]","[12060, 1]",[12060]
