repetition,role,region,task,policy,baseline,n,low,high,accuracy,balanced_accuracy,macro_f1,roc_auc,brier,n_unique,cells_evaluated,identity_prior_coverage
3,sensitivity,joint_primary,arousal,midpoint_as_low,global_train_prior,90,52,38,0.5555555555555556,0.48785425101214575,0.39839572192513373,0.5202429149797572,0.24793394114041623,,,
3,sensitivity,joint_primary,arousal,midpoint_as_low,position_train_prior,90,52,38,0.5222222222222223,0.4554655870445344,0.36296296296296293,0.4557186234817814,0.27761648117318904,,,
3,sensitivity,joint_primary,arousal,midpoint_as_low,position_quadratic_logistic,90,52,38,0.5555555555555556,0.48431174089068824,0.3788819875776398,0.4567307692307693,0.2776162786835925,,,
3,sensitivity,joint_primary,arousal,midpoint_as_high,global_train_prior,90,33,57,0.5777777777777777,0.4688995215311005,0.40993788819875776,0.42503987240829344,0.25239858110460234,,,
3,sensitivity,joint_primary,arousal,midpoint_as_high,position_train_prior,90,33,57,0.5555555555555556,0.4513556618819776,0.39839572192513373,0.41919191919191917,0.272997997961105,,,
3,sensitivity,joint_primary,arousal,midpoint_as_high,position_quadratic_logistic,90,33,57,0.5,0.4138755980861244,0.38440492476060195,0.4175970228601807,0.27299204109996345,,,
4,sensitivity,joint_primary,valence,discard_midpoint,global_train_prior,75,53,22,0.7066666666666667,0.5,0.4140625,0.395368782161235,0.21659089528706593,,,
4,sensitivity,joint_primary,valence,discard_midpoint,position_train_prior,75,53,22,0.6133333333333333,0.460548885077187,0.4366744366744367,0.3975128644939966,0.259767470398574,,,
4,sensitivity,joint_primary,valence,discard_midpoint,position_quadratic_logistic,75,53,22,0.7066666666666667,0.5,0.4140625,0.39150943396226423,0.25975248993663286,,,
4,sensitivity,joint_primary,valence,midpoint_as_low,global_train_prior,90,68,22,0.7555555555555555,0.5,0.43037974683544306,0.4144385026737968,0.18962303474786918,,,
4,sensitivity,joint_primary,valence,midpoint_as_low,position_train_prior,90,68,22,0.7333333333333333,0.500668449197861,0.4605394605394605,0.45120320855614976,0.21906644561338318,,,
4,sensitivity,joint_primary,valence,midpoint_as_low,position_quadratic_logistic,90,68,22,0.7333333333333333,0.500668449197861,0.4605394605394605,0.44451871657754005,0.21907273501904664,,,
4,sensitivity,joint_primary,valence,midpoint_as_high,global_train_prior,90,53,37,0.5888888888888889,0.5,0.3706293706293706,0.35517593064762876,0.259602094407498,,,
4,sensitivity,joint_primary,valence,midpoint_as_high,position_train_prior,90,53,37,0.4222222222222222,0.39928607853136155,0.39814814814814814,0.3564507904130546,0.291576352342923,,,
4,sensitivity,joint_primary,valence,midpoint_as_high,position_quadratic_logistic,90,53,37,0.4666666666666667,0.4288628250892402,0.41810344827586204,0.35798062213156556,0.29156107996442787,,,
4,sensitivity,joint_primary,arousal,discard_midpoint,global_train_prior,71,33,38,0.4084507042253521,0.4094896331738437,0.4083333333333333,0.4286283891547049,0.2630214573305302,,,
4,sensitivity,joint_primary,arousal,discard_midpoint,position_train_prior,71,33,38,0.49295774647887325,0.49043062200956933,0.49043062200956933,0.5047846889952153,0.26432560760363827,,,
4,sensitivity,joint_primary,arousal,discard_midpoint,position_quadratic_logistic,71,33,38,0.49295774647887325,0.4964114832535885,0.4928571428571429,0.5027910685805422,0.26432912958185634,,,
4,sensitivity,joint_primary,arousal,midpoint_as_low,global_train_prior,90,52,38,0.5777777777777777,0.51417004048583,0.445165476963011,0.4524291497975708,0.24922467942420168,,,
4,sensitivity,joint_primary,arousal,midpoint_as_low,position_train_prior,90,52,38,0.5333333333333333,0.4934210526315789,0.475,0.4640688259109311,0.2594980625943063,,,
4,sensitivity,joint_primary,arousal,midpoint_as_low,position_quadratic_logistic,90,52,38,0.5555555555555556,0.5020242914979757,0.4591346153846154,0.46634615384615385,0.2594998352156304,,,
4,sensitivity,joint_primary,arousal,midpoint_as_high,global_train_prior,90,33,57,0.6333333333333333,0.5,0.3877551020408163,0.44922913343965976,0.24429189899105982,,,
4,sensitivity,joint_primary,arousal,midpoint_as_high,position_train_prior,90,33,57,0.5555555555555556,0.4449760765550239,0.3788819875776398,0.49229133439659756,0.24824680931095935,,,
4,sensitivity,joint_primary,arousal,midpoint_as_high,position_quadratic_logistic,90,33,57,0.5888888888888889,0.5159489633173844,0.5052741048878324,0.49175970228601806,0.24824548549996106,,,
0,primary,seen_subject_unseen_video,valence,discard_midpoint,subject_train_prior,150,106,44,0.5581603581603581,0.5588873371318224,0.4770691517553067,0.5150657441006705,0.28531892935301223,75.0,9.0,0.8266666666666667
0,primary,unseen_subject_seen_video,valence,discard_midpoint,video_train_prior,150,106,44,0.8698385940414926,0.814988963421626,0.8257193349263242,0.9063929533801824,0.10911759765834986,75.0,9.0,0.92
0,primary,seen_subject_unseen_video,arousal,discard_midpoint,subject_train_prior,142,66,76,0.6834888532164894,0.6597362514029181,0.6353821029410865,0.7235713617658062,0.2386227126996494,71.0,9.0,0.8169014084507042
0,primary,unseen_subject_seen_video,arousal,discard_midpoint,video_train_prior,142,66,76,0.4715181504655189,0.5032990974167446,0.4214174280457315,0.5449164452105628,0.3827154579504693,71.0,9.0,0.9295774647887324
1,sensitivity,seen_subject_unseen_video,valence,discard_midpoint,subject_train_prior,150,106,44,0.5858669845988687,0.5225171433504766,0.4717981401314735,0.5379974963308297,0.3061709684667158,75.0,9.0,0.92
1,sensitivity,unseen_subject_seen_video,valence,discard_midpoint,video_train_prior,150,106,44,0.8348755520514842,0.8270573108808403,0.8023418925543109,0.9219152307387601,0.08879679200156437,75.0,9.0,0.9466666666666667
1,sensitivity,seen_subject_unseen_video,arousal,discard_midpoint,subject_train_prior,142,66,76,0.7724758834407957,0.7692620650953985,0.7559182996882104,0.7915231681898348,0.20601689781859223,71.0,9.0,0.8591549295774648
1,sensitivity,unseen_subject_seen_video,arousal,discard_midpoint,video_train_prior,142,66,76,0.5535969396005517,0.5438552188552188,0.5163863388215029,0.619818722943723,0.29034620741952194,71.0,9.0,0.9577464788732394
2,sensitivity,seen_subject_unseen_video,valence,discard_midpoint,subject_train_prior,150,106,44,0.5666097106695887,0.4873897707231041,0.45160991128508016,0.48048059964726636,0.30898251594611825,75.0,9.0,0.8666666666666667
2,sensitivity,unseen_subject_seen_video,valence,discard_midpoint,video_train_prior,150,106,44,0.8277451106398473,0.8088945654735128,0.784843452672456,0.9037557147206271,0.12094381075311968,75.0,9.0,0.92
2,sensitivity,seen_subject_unseen_video,arousal,discard_midpoint,subject_train_prior,142,66,76,0.6620225946128939,0.7126521585951411,0.6446169618484197,0.7857141048870372,0.24170250407955443,71.0,9.0,0.7887323943661971
2,sensitivity,unseen_subject_seen_video,arousal,discard_midpoint,video_train_prior,142,66,76,0.564726631393298,0.554900654900655,0.4740062406729073,0.5726555950663094,0.29125089047318664,71.0,9.0,0.9295774647887324
3,sensitivity,seen_subject_unseen_video,valence,discard_midpoint,subject_train_prior,150,106,44,0.6194320225498715,0.5181206320912204,0.49384594534637155,0.5713506446349583,0.26938414393522353,75.0,9.0,0.8266666666666667
3,sensitivity,unseen_subject_seen_video,valence,discard_midpoint,video_train_prior,150,106,44,0.8515208428005124,0.825842521675855,0.8118699271081452,0.8774609264192598,0.10824204235939212,75.0,9.0,0.9466666666666667
3,sensitivity,seen_subject_unseen_video,arousal,discard_midpoint,subject_train_prior,142,66,76,0.762110057698293,0.7924031986531986,0.7495203512418259,0.8145698887018331,0.19173490174735697,71.0,9.0,0.7887323943661971
3,sensitivity,unseen_subject_seen_video,arousal,discard_midpoint,video_train_prior,142,66,76,0.6094141118931354,0.612238841405508,0.5352869665602424,0.5837295420628754,0.28697887714498305,71.0,9.0,0.9577464788732394
4,sensitivity,seen_subject_unseen_video,valence,discard_midpoint,subject_train_prior,150,106,44,0.5521248228144781,0.478152557319224,0.4736992144391692,0.46599059376837154,0.3159206174902709,75.0,9.0,0.88
4,sensitivity,unseen_subject_seen_video,valence,discard_midpoint,video_train_prior,150,106,44,0.7726492255096374,0.8084215167548501,0.7483419414694175,0.8993106995884774,0.13252883061382073,75.0,9.0,0.9466666666666667
4,sensitivity,seen_subject_unseen_video,arousal,discard_midpoint,subject_train_prior,142,66,76,0.7056705774097078,0.7392095558762226,0.6991266540286147,0.7781015655420418,0.2398435913150262,71.0,9.0,0.8591549295774648
4,sensitivity,unseen_subject_seen_video,arousal,discard_midpoint,video_train_prior,142,66,76,0.5467403387424028,0.5384680134680134,0.49781018202070837,0.5752645502645503,0.3169448786867749,71.0,9.0,0.9577464788732394
